Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Overfitting
Random Forest (Tuned),0.8986678080359531,0.7766666666666666,0.49552033080634045,0.5418236623963828,0.5176385889128869,Yes
Logistic Regression (SMOTE),0.6999090471349848,0.7166666666666667,0.40985983566940554,0.6390354182366239,0.4994110718492344,No
Random Forest (SMOTE),0.9996522390455299,0.792,0.5339055793991416,0.4687264506405426,0.49919743178170145,Yes
Naive Bayes,0.759375,0.7508333333333334,0.4490909090909091,0.5584024114544084,0.4978165938864629,No
XGBoost (SMOTE),0.9143973035150608,0.7936666666666666,0.5438423645320197,0.4159758854559156,0.4713919726729291,Yes
Gradient Boosting,0.8285416666666666,0.8161666666666667,0.6573033707865169,0.35267520723436324,0.459048553212359,No
XGBoost,0.8985416666666667,0.8098333333333333,0.618925831202046,0.36473247927656366,0.45898530109056423,Yes
AdaBoost,0.821,0.818,0.6705370101596516,0.34815373021853807,0.4583333333333333,No
Random Forest,0.9987916666666666,0.8073333333333333,0.610608020698577,0.3556895252449133,0.44952380952380955,Yes
SVM,0.8254583333333333,0.8145,0.6555232558139535,0.3398643556895252,0.4476426799007444,No
KNN,0.8421666666666666,0.7936666666666666,0.5518044237485448,0.3571966842501884,0.43366880146386094,No
Decision Tree,0.9994583333333333,0.7233333333333334,0.3849343469246717,0.41974378296910325,0.4015861571737563,Yes
Logistic Regression,0.8075416666666667,0.8078333333333333,0.6924778761061947,0.23587038432554636,0.3518830803822372,No
